1AHDV;Datentechnik;
1BHDV;Datentechnik;
1CHDV;Datentechnik;
2AHDV;Datentechnik;
2BHDV;Datentechnik;
2CHDV;Datentechnik;
3AKDVK;Datentechnik-KOLLEG;
3AHDV;Datentechnik;
3BHDV;Datentechnik;
3CHDV;Datentechnik;
4AHDVK;Datentechnik;
4BHDVK;Datentechnik;
5AHDVK;Datentechnik;
5BHDVK;Datentechnik;
1AHET;Elektrotechnik;
1BHET;Elektrotechnik;
2AHET;Elektrotechnik;
2BHET;Elektrotechnik;
3AHETI;INFORMATIONSTECHNIK-E;
3BHETI;INFORMATIONSTECHNIK-E;
3CHETE;Elektrotechnik;
4AHETI;INFORMATIONSTECHNIK-E;
4BHETE;Elektrotechnik;
5AHETI;INFORMATIONSTECHNIK-E;
5BHETE;Elektrotechnik;
5CHETE;Elektrotechnik;
1ABET;AS-Elektrotechnik;
5ABETI;AS-INFORMATIONSTECHNIK-E;
1AFET;Elektrotechnik-FACHSCHULE;
2AFET;Elektrotechnik-FACHSCHULE;
3AFET;Elektrotechnik-FACHSCHULE;
4AFET;Elektrotechnik-FACHSCHULE;
1AHBT;Hochbau;
1BHBT;Hochbau;
2AHBT;Hochbau;
2BHBT;Hochbau;
3AHBTH;Hochbau;
3BHBTH;Hochbau;
4AHBTH;Hochbau;
4BHBTH;Hochbau;
5AHBTH;Hochbau;
5BHBTH;Hochbau;
3ABBT;AS-Hochbau;
7ABBTH;AS-Hochbau;
1AHMI;Hochbau;
1BHMI;Hochbau;
2AHMI;Hochbau;
2BHMI;Hochbau;
3AHMIA;Hochbau;
3BHMIA;Hochbau;
4AHMIA;Hochbau;
4BHMIA;Hochbau;
5AHMIA;Hochbau;
5BHMIA;Hochbau;
1ABMI;AS-Hochbau;
1BBMI;AS-Hochbau;
5ABMIA;AS-Hochbau;
FS1;304950 SCHÜLERHEIM;
FS2;318449 BLT SEMMERING;
FS3;310447 HTL HOLLABRUNN;
FS3a;310447 HTL HOLLABRUNN;
FS3b;310447 HTL HOLLABRUNN;
FS4;071321 STUDENTENHEIM HOLLABRUNN;
FS5;304459 FS F. SOZIALBERUFE CARITAS;
FS6;304449 HLA F. WIRTSCHAFTLICHE BERUFE;
FS7;916026 BRG WIEN 16.;
FS8;304438 BHAK WIENER NEUSTADT;
